,Ydd(cloudpss),Ydq(cloudpss),Yqd(cloudpss),Yqq(cloudpss),phdd(cloudpss),phdq(cloudpss),phqd(cloudpss),phqq(cloudpss),,Ydd(simulink),Ydq(simulink),Yqd(simulink),Yqq(simulink),phdd(simulink),phdq(simulink),phqd(simulink),phqq(simulink)
3,-11.10004538,-23.28788071,-14.2288414,-21.56556096,170.306431,173.5825693,102.3103449,-67.2729109,,-10.85144614,-19.81948516,-19.71799357,-12.09347214,170.6,1.2,-0.2,-0.1
5,-10.93602497,-23.09673715,-18.21539583,-25.34421728,158.225099,160.2943776,84.45143464,-67.48883379,,-10.80310715,-18.99240487,-19.71799357,-12.09696817,157.8,0.7,-0.4,0.1
7,-11.2065015,-23.35715837,-21.3438034,-27.47625267,146.5768418,148.0903269,71.22615104,-66.24352332,,-11.04134269,-18.51830622,-19.71799357,-12.09347214,145.1,-0.1,-0.3,-0.3
9,-11.71159437,-23.85577822,-24.02222152,-28.87702789,135.9295262,137.1257299,60.44911863,-65.97597769,,-11.67384826,-17.81518063,-19.71799357,-12.08299248,134,-4.6,-0.6,-0.3
11,-12.35717147,-24.49553704,-26.42694133,-29.93978191,126.2853422,127.2766328,51.32593341,-66.6160102,,-12.21313377,-17.5753709,-19.71799357,-12.07950207,124.7,-9.4,-0.6,-0.2
13,-13.09153387,-25.22388252,-28.64730792,-30.83085678,117.573887,118.4214615,43.47824984,-67.80241461,,-12.92552125,-17.45790403,-19.71799357,-12.06555443,115.4,-14.6,-0.7,-0.2
17,-14.70452603,-26.82325629,-32.71462865,-32.34984079,102.6233957,103.2800323,30.79895849,-70.80630178,,-14.56316787,-17.05884658,-19.72640605,-12.03772617,100.3,-24.2,-0.8,-0.5
29,-19.68334718,-31.74690377,-43.24186111,-35.89116595,72.18228322,72.55498486,9.82442878,-79.03677388,,-19.52672164,-18.65858288,-19.72640605,-12.01691332,67.9,-51.4,-1.1,-0.6
37,-22.70996299,-34.72479964,-49.53150467,-37.71040417,59.45865226,59.70198316,7.001819155,-82.9373474,,-22.53126274,-20.02783941,-19.73482669,-11.99615023,55,-65.1,-1.5,-1.5
49,-26.6882794,-38.61256004,-58.01361578,-39.90534757,46.53267256,46.61596027,22.54145875,-87.39740758,,-26.23516408,-22.15476786,-19.74325551,-11.98924021,41.7,-79.5,-1.7,-2.5
59,-29.55820535,-41.39141526,-61.95971995,-41.38672173,39.14322058,39.1030591,53.68360037,-90.37473374,,-29.18840567,-24.06019219,-19.74325551,-12.01344936,36,-89.4,-2,-2.3
75,-33.5072529,-45.15938784,-62.13768442,-43.32251706,30.94272265,30.73993564,84.97771678,-94.36443957,,-32.58603815,-26.41325939,-19.7516925,-12.01344936,25.4,-100.8,-2.3,-2.7
81,-34.82831518,-46.39991819,-61.96469417,-43.94376009,28.61403003,28.35213204,89.45270769,-95.69144366,,-34.81768312,-27.58063129,-19.74325551,-12.01691332,23.3,-108.2,-2.4,-3.1
93,-37.26773339,-48.66080986,-61.878356,-45.05479445,24.768793,24.40779283,93.78230108,-98.18560008,,-36.60651132,-29.8536792,-19.73482669,-12.06207102,20.4,-111.7,-3,-3.5
103,-39.13160111,-50.35389278,-62.01392204,-45.87063561,22.18060823,21.75514462,95.18346806,-100.120301,,-38.04097858,-31.19756794,-19.7516925,-12.058589,7.1,-115.2,-3.7,-3.9
117,-41.54063936,-52.48918041,-62.38377822,-46.87707162,19.22088106,18.70762933,95.77077474,-102.6608428,,-40.54298888,-33.21494732,-19.76859113,-12.08997751,15.7,-118.6,-4,-4.1
143,-45.57470179,-55.89222759,-63.30505968,-48.42595144,15.06963992,14.4456678,95.34478995,-106.9897118,,-44.21402778,-36.53627463,-19.78552269,-12.10396446,2.5,-124.2,-4.5,-4.3
173,-49.8125422,-59.15634445,-64.44366238,-49.83779793,11.54106055,10.88361729,94.24297581,-111.5303042,,-45.69832659,-41.40242953,-19.76859113,-12.13551767,-8.3,-131.4,-5,-5.3
193,-52.53762536,-61.04267001,-65.17811233,-50.6131391,9.59307443,9.014111459,93.47161914,-114.3478195,,-47.7846681,-44.51404123,-19.80248733,-12.16013855,-8.2,-136.5,-6,-5.9
213,-55.28383974,-62.7515807,-65.877669,-51.28456529,7.793467621,7.427576611,92.73006305,-117.0031758,,-48.34056142,-47.27224828,-19.82799656,-12.16013855,-43.6,-135.3,-7,-6.7
